Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,GeoCode,Value
2016,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-7.4
2017,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,12.4
2018,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,1.4
2019,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,1.8
2020,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,-9.4
2021,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,22.2
2022,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,20.2
2023,NE_IMP_GNFS_KD_ZG,,PT,A,0,2023,Economic Survey,,,6.3
2014,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.4
2015,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.7
2016,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,4.2
2017,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,3.8
2018,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.6
2019,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.1
2020,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,-0.3
2021,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,7.6
2022,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,4.9
2023,NY_GDP_MKTP_KD_ZG,,PT,A,0,2023,Economic Survey,,,5.6
